Locality_clean,Latitude,Longitude,Year,Month,Day,Larvae,Pupae,Adults,MOTH_family,MOTH_sp,MOTH_id,feed,PARA_n1,PARA_sp1,PARA_n2,PARA_sp2,PARA_n3,PARA_sp3,PARA_n4,PARA_sp4,PARA_n5,PARA_sp5
Tp. Pardee #24,NA,NA,1947,7,4,267,NA,86,Tortricidae,Archips cerasivorana,ARCE, colonial shelter-builders,10,Actia diffidens,NA,NA,NA,NA,NA,NA,NA,NA
Tp.74 D33,NA,NA,1947,7,23,12,NA,NA,Tortricidae,Archips cerasivorana,ARCE, colonial shelter-builders,3,Actia diffidens,NA,NA,NA,NA,NA,NA,NA,NA
"Traver Lake, Que.",NA,NA,1940,8,31,10,NA,6,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trenton, Ont.",NA,NA,1947,6,19,3,NA,3,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trentorous Tp D 36,NA,NA,1947,7,7,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinity Bay, P.Q.",4925,6718,1937,7,28,1,1,2,Tortricidae,Acleris variana,ACVA,solitary defoliators,1,Microgaster peroneae,NA,NA,NA,NA,NA,NA,NA,NA
Trisinabu D 73,NA,NA,1947,8,22,1,NA,1,Geometridae,Caripeta divisata,CADI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trout Creek # 83,NA,NA,1948,8,5,5,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,1,Hymenoptera,1,Microgaster facetosa,NA,NA,NA,NA,NA,NA
Trout Creek D 83,NA,NA,1948,6,21,2,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trout Creek D 83,NA,NA,1948,6,21,1,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trout Creek, Ont.",NA,NA,1939,7,24,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trout Lake,NA,NA,1949,8,10,2,NA,1,Erebidae,Orgyia leucostigma,ORLE,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trout Lake, Ont.",NA,NA,1939,7,17,2,NA,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trout Lake, Ont.",NA,NA,1939,7,19,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Truro, N. S., Ont.",NA,NA,1941,7,26,3,NA,2,Erebidae,Orgyia leucostigma,ORLE,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Truro, N.S.",NA,NA,1941,7,22,3,NA,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turbine D 67,NA,NA,1948,6,5,11,NA,7,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey Point, Ont.",NA,NA,1940,7,16,2,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey Point, Ont.",NA,NA,1940,7,16,7,NA,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey Pt. Sta., Ont",NA,NA,1947,7,10,NA,8,3,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,2,Itoplectis conquisitor,NA,NA,NA,NA,NA,NA,NA,NA
"Tweed, Ont",NA,NA,1940,1,21,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tweed, Ont.",NA,NA,1940,8,7,2,1,2,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Twin Rapids, Que",NA,NA,1939,8,21,1,NA,1,Geometridae,Caripeta divisata,CADI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twp 110 Div 69,NA,NA,1946,7,11,12,3,NA,Tortricidae,Acleris variana,ACVA,solitary defoliators,2,Exochus sp.,NA,NA,NA,NA,NA,NA,NA,NA
