"HERB_ID_SP","abun","rar.pd.obs","rar.pd.est","sr.obs","sr.est","shan.obs","shan.est","mpd.abun","mpd","mntd.abun","mntd","pd.abun","pd.ivs.abun","pd.ivs","species.specificity.index","effective.partners","proportional.generality","d","psv","psr","eed","hed","pae.even","haed.even","eaed.even","pse.even","HERB_family_2019","HERB_fam_top","HERB_sp","FEED_type","FEED_site","feeding","SC","HERB_ID","start_pheno","start_peak","end_pheno","end_peak","dias_peak","dias_pheno","group"
"HYAA",86,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-211.668339916416,6.05707129532349,1,1,0.0876347118285909,0.57811576722326,NA,NA,Inf,11.0710443369494,2.01773626915848,4.45434729625351,1,NA,"Erebidae","Erebidae","Hypena abalienalis","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"HYBA",88,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-211.734662147376,6.05707129532343,1,1,0.0876347118285909,0.459789322344924,NA,NA,Inf,11.0710443369494,2.5382675570185,4.47733681447821,1,NA,"Erebidae","Erebidae","Hypena baltimoralis","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"HYDE",80,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-211.469373223537,6.05707129532343,1,1,0.0876347118285909,0.663792907794173,NA,NA,Inf,11.0710443369494,2.60360312244452,4.38202663467388,1,NA,"Erebidae","Erebidae","Hypena deceptalis","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"HYED",42,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-210.209250835297,6.05707129532331,1,1,0.0876347118285909,0.50906379916121,NA,NA,Inf,11.0710443369494,1.9419447544623,3.73766961828337,1,NA,"Erebidae","Erebidae","Hypena eductalis","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"IDAE",147,366.746,366.746,2,2,1.327,1.331,12.5034633236152,83.391154,83.391154,83.391154,366.745604,-171.995590960696,-40.3270290048422,0.919361615242386,1.32675867344553,0.116270114013483,0.181668561719958,0.128274337906762,0.256548675813523,15.4768489008694,10.7277341795899,0.622004176409465,4.94389385810882,0.990674409911234,0.0384662737579629,"Erebidae","Erebidae","Idia aemula","free","LEAF LITTER","solitary def.","S","IDAE",130,NA,273,NA,NA,143,NA
"LESA",246,363.089,363.089,2,2,1.759,1.762,28.6829958812876,76.077322,76.077322,76.077322,363.088688,-178.935457393216,-43.9839450048422,0.781545692274163,1.75866869560097,0.154120424340955,0.278769007987451,0.117024020428708,0.234048040857415,15.5219685364244,10.7590087277627,0.737223121869331,5.49846256583755,0.998752305823913,0.0882417889517281,"Erebidae","Erebidae","Leucoma salicis","free",NA,"solitary def.","S","LESA",110,171,273,201,30,163,NA
"LOAR",338,881.698,881.698,6,6,2.728,2.748,66.1070960118343,314.987079066667,88.0660070295858,192.677342666667,881.69801,336.623041982625,122.306667794496,0.72253389372224,2.72756627343575,0.239029484365926,0.251158304781961,0.484520924323238,2.90712554593943,4.03489646244102,7.22956394393348,0.355027957010446,4.66089551935315,0.800422253750162,0.122025086332636,"Erebidae","Erebidae","Lophocampa argentata","free","LEAF","colonial def.","C","LOAR",89,150,201,150,0,112,"early"
"LOCA",201,958.441,958.441,8,8,4.359,4.437,130.282371783273,212.776219571429,110.347954616916,158.5358045,958.440869000001,417.908973803385,22.8901721941655,0.574784726548343,4.35934500662656,0.382029943417125,0.585931239811303,0.32729764943448,2.61838119547584,3.31478434952775,6.89290027811817,0.8534060430371,4.95200574041818,0.93375844426613,0.229032651612244,"Erebidae","Erebidae","Lophocampa caryae","free",NA,"colonial def.","C","LOCA",191,211,273,232,21,82,"late"
"LOMA",662,1266.569,1266.569,11,11,6.072,6.118,168.493683315915,223.61883,126.034292283988,164.022557818182,1266.568858,710.749688567107,66.7791292936688,0.411159447028976,6.0716391093263,0.532086343673013,0.263241240718015,0.343976021266413,3.78373623393054,2.43055111913112,5.82820703885931,1.2109905482087,5.75703664780833,0.886343537185496,0.28509927126926,"Erebidae","Erebidae","Lophocampa maculata","free","LEAF","solitary def.","S","LOMA",191,232,283,242,10,92,"late"
"ORAN",1081,1544.51,1544.51,16,16,9.437,9.503,322.060923085751,425.75535835,78.8083874283071,97.3587435,1544.509965,974.796288180989,-95.6781502071587,0.326555577694036,9.43651105283598,0.826965926782594,0.0574055993135286,0.65490743421781,10.478518947485,1.85267093616759,5.13669454363969,0.705164897700265,6.51543527577645,0.932689571819234,0.528428892103226,"Erebidae","Erebidae","Orgyia antiqua","free","LEAF","solitary def.","S","ORAN",161,191,263,242,51,102,NA
